pl_name,hostname,discoverymethod,default_flag,pl_eqt,pl_insol,pl_eqt_est,pl_orbeccen,st_met,st_teff,st_rad,st_mass
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,1,1700.0,,1700.0,,,4060.0,,0.85
2M0437 b,2MASS J04372171+2651014,Imaging,1,1450.0,,1450.0,,0.01,3100.0,0.84,0.17
2MASS J03590986+2009361 b,2MASS J03590986+2009361,Imaging,1,2369.0,,2369.0,,,,,
2MASS J11011926-7732383 b,2MASS J11011926-7732383,Imaging,1,2677.0,,2677.0,,,,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,Imaging,1,2506.0,,2506.0,,,,,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,1,1250.0,,1250.0,,,,,0.024
2MASS J21252752-8138278 b,2MASS J21252752-8138278,Imaging,1,1616.0,,1616.0,,,,,
51 Eri b,51 Eri,Imaging,1,700.0,,700.0,,-0.027,,,1.75
AU Mic b,AU Mic,Transit,1,600.0,21.2,600.0,0.00577,0.23,3678.0,0.744,0.51
AU Mic c,AU Mic,Transit,1,459.0,7.3,459.0,0.00338,0.23,3678.0,0.744,0.51
BD+05 4868 A b,BD+05 4868 A,Transit,1,1820.0,,1820.0,,-0.05,4596.0,0.69,0.7
BD+60 1417 b,BD+60 1417,Imaging,1,1303.0,,1303.0,,,4993.0,0.797,1.0
BD-14 3065 b,BD-14 3065 A,Transit,1,2001.0,,2001.0,0.066,-0.34,6935.0,2.35,1.41
BD-210397 b,BD-210397,Radial Velocity,1,,0.02,104.73279614245607,0.1,0.12,4051.0,0.747,0.679
Barnard b,Barnard's star,Radial Velocity,1,438.0,,438.0,0.03,-0.56,3195.0,0.185,0.162
Barnard c,Barnard's star,Radial Velocity,1,400.0,,400.0,0.08,-0.56,3195.0,0.185,0.162
Barnard d,Barnard's star,Radial Velocity,1,483.0,,483.0,0.04,-0.56,3195.0,0.185,0.162
Barnard e,Barnard's star,Radial Velocity,1,340.0,,340.0,0.04,-0.56,3195.0,0.185,0.162
CD Cet b,CD Cet,Radial Velocity,1,464.0,8.6,464.0,,0.13,3130.0,0.175,0.161
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,Imaging,1,370.0,,370.0,,,580.5,,0.021
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,Imaging,1,1800.0,,1800.0,,,2320.0,0.245,0.0147
CT Cha b,CT Cha,Imaging,1,2600.0,,2600.0,,,,,
CoRoT-1 b,CoRoT-1,Transit,1,1898.0,,1898.0,0.0,-0.3,5950.0,1.11,0.95
CoRoT-10 b,CoRoT-10,Transit,1,600.0,,600.0,0.53,0.26,5075.0,0.79,0.89
CoRoT-11 b,CoRoT-11,Transit,1,1657.0,,1657.0,0.0,-0.03,6440.0,1.37,1.27
