"pl_name","hostname","discoverymethod","default_flag","pl_bmasse","pl_rade","pl_eqt","pl_orbeccen","st_met","st_teff","st_rad","st_mass","pl_insol","density_gcc","v_esc_kms","can_hold_water","WRI_temp_only"
"BD+60 1417 b","BD+60 1417","Imaging",1,4767.426105,14.68376472,1303,NA,NA,4993,0.797,1,NA,8.30306581868855,201.809357254672,0,0.300180877894683
"BD-14 3065 b","BD-14 3065 A","Transit",1,3932,21.59,2001,0.066,-0.34,6935,2.35,1.41,NA,2.15438017481393,151.146625681291,0,0.478001681400148
"CFHTWIR-Oph 98 b","CFHTWIR-Oph 98 A","Imaging",1,2479.0615746,20.8487041,1800,NA,NA,2320,0.245,0.0147,NA,1.50840123372323,122.129940865285,0,0.426795404172929
"CT Cha b","CT Cha","Imaging",1,5403,24.66,2600,NA,NA,NA,NA,NA,NA,1.98665526487753,165.782609097935,0,0.630601482689221
"CoRoT-1 b","CoRoT-1","Transit",1,327.35,16.7,1898,0,-0.3,5950,1.11,0.95,NA,0.387551742225328,49.5867859547013,0,0.451761648791175
"CoRoT-10 b","CoRoT-10","Transit",1,874,10.87,600,0.53,0.26,5075,0.79,0.89,NA,3.75223095664226,100.42896036979,0,0.121086286398492
"CoRoT-11 b","CoRoT-11","Transit",1,740.51,16.03,1657,0,-0.03,6440,1.37,1.27,NA,0.991281776788435,76.1231454625278,0,0.390365067638142
"CoRoT-12 b","CoRoT-12","Transit",1,291.438,16.14,1442,0.07,0.16,5675,1.116,1.078,NA,0.382210266585201,47.5925907200881,0,0.335592184036889
"CoRoT-13 b","CoRoT-13","Transit",1,415.704,9.92,1700,0,0.01,5945,1.01,1.09,NA,2.3480965406656,72.5027180803055,0,0.401319644358393
"CoRoT-14 b","CoRoT-14","Transit",1,2415.4,12.22,1952,0,0.05,6035,1.21,1.13,NA,7.2986444214029,157.462430507333,0,0.465518559091025
"CoRoT-17 b","CoRoT-17","Transit",1,772.29,11.43,1626,0,0,5740,1.59,1.04,NA,2.85173050952693,92.0629979446204,0,0.382467582095636
"CoRoT-18 b","CoRoT-18","Transit",1,1102.82,14.68,1550,0.08,-0.1,5440,1,0.95,NA,1.9221763460816,97.0749804306603,0,0.363106004636588
"CoRoT-19 b","CoRoT-19","Transit",1,352.78,14.46,2000,0.047,-0.02,6090,1.65,1.21,NA,0.64337745551119,55.3204691006994,0,0.477746923802002
"CoRoT-22 b","CoRoT-22","Transit",1,12.2,4.88,885,0.077,0.17,5939,1.136,1.099,NA,0.57885145122279,17.7087548969429,0,0.193692201869921
"CoRoT-23 b","CoRoT-23","Transit",1,889.9,11.77,1660,0.16,0.05,5900,1.61,1.14,NA,3.0093907379996,97.3868670260979,0,0.391129340432578
"CoRoT-24 b","CoRoT-24","Transit",1,5.7,3.7,1070,0,0.3,4950,0.86,0.91,NA,0.62049236965234,13.9012735173942,0,0.240822357526813
"CoRoT-24 c","CoRoT-24","Transit",1,28,5,850,0,0.3,4950,0.86,0.91,NA,1.235136,26.5040374282863,0,0.184775685934833
"CoRoT-25 b","CoRoT-25","Transit",1,85.81,12.11,1330,0,-0.01,6040,1.19,1.09,NA,0.266423319023608,29.8136330688329,0,0.307059333044608
"CoRoT-26 b","CoRoT-26","Transit",1,165.26,14.12,1600,0,0.01,5590,1.79,1.09,NA,0.32369084774796,38.3163867783838,0,0.375843884543856
"CoRoT-27 b","CoRoT-27","Transit",1,3302.11,11.287,1500,0.065,-0.1,5900,1.08,1.05,NA,12.6625951865873,191.568689526156,0,0.35036812472932
"CoRoT-32 b","CoRoT-32","Transit",1,47.6745,6.38913,938,NA,0,5970,0.79,1.08,132.26,1.00792387876546,30.5942797661089,0,0.207194354571625
"CoRoT-35 b","CoRoT-35","Transit",1,349.6112477,18.83108758,1747,0,-0.5,6390,1.65,1.01,NA,0.288686149871916,48.2584111547599,0,0.413293251471225
"CoRoT-36 b","CoRoT-36","Transit",1,216.12331676,15.80466279,1567,0,-0.1,6730,1.52,1.32,NA,0.301864945773563,41.4167691709849,0,0.367436883805059
"CoRoT-4 b","CoRoT-4","Transit",1,228.83,13.34,1074,0,NA,6190,1.17,1.16,NA,0.531510971405724,46.387032257078,0,0.241841387919395
"CoRoT-5 b","CoRoT-5","Transit",1,148.42,15.558,1438,0.09,-0.25,6100,1.186,1,NA,0.217319094883352,34.5929303720636,0,0.334573153644307
"CoRoT-6 b","CoRoT-6","Transit",1,940.74,13.068,1017,0.1,-0.2,6090,1.025,1.05,NA,2.32438998131539,95.0272726789564,0,0.227320204825109
"CoRoT-9 b","CoRoT-9","Transit",1,266.9772,11.948794,420,0.133,-0.01,5625,0.96,0.96,NA,0.862916382499484,52.9411136500672,0,0.0752299187323262
"EPIC 201595106 b","EPIC 201595106","Transit",1,7.67,1.565,2038,0,0.01,5679,0.98,0.958,2852,11.0336473717301,24.7946814868017,0,0.487427712531526
"EPIC 220674823 b","EPIC 220674823","Transit",1,7.8,1.676,2299,0,-0.005,5578,0.99,0.913,4656,9.13564724030469,24.1617461317193,0,0.553919445647466
"EPIC 220674823 c","EPIC 220674823","Transit",1,7.32,2.84,804,0.17,-0.005,5578,0.99,0.913,70,1.76206864276315,17.9810228601877,0,0.173056836420146
"EPIC 229004835 b","EPIC 229004835","Transit",1,10.4,2.332,804,0.23,-0.12,5868,0.999,0.97,69.7,4.52183241520071,23.6521388180637,0,0.173056836420146
"EPIC 246851721 b","EPIC 246851721","Transit",1,953.49,11.780659,1401,NA,0.141,6202,1.586,1.317,642,3.21568980536393,100.760729102401,0,0.325147122512929
"EPIC 248847494 b","EPIC 248847494","Transit",1,4131.79,12.44199,183,0,-0.23,4898,2.7,0.9,0.19,11.8286575323449,204.09963065171,0,0.0148523679718747
"EPIC 249893012 b","EPIC 249893012","Transit",1,8.75,1.95,1616,0.06,0.2,5430,1.71,1.05,1037,6.50685277904213,23.7249192806171,0,0.379920006114182
"EPIC 249893012 c","EPIC 249893012","Transit",1,14.67,3.67,990,0.07,0.2,5430,1.71,1.05,160,1.63643471084047,22.3923692724749,0,0.220441749675184
"EPIC 249893012 d","EPIC 249893012","Transit",1,10.18,3.94,752,0.15,0.2,5430,1.71,1.05,53,0.917753129899614,18.0029552001633,0,0.159809441316587
"G 9-40 b","G 9-40","Transit",1,4,1.9,440.6,0,-0.07,3395,0.3026,0.2952,6.27,3.21562910045196,16.2506680024643,0,0.0804779252541207
"GJ 1132 b","GJ 1132","Transit",1,1.83704819,1.19151465,583.8,0.0118,-0.17,3229,0.2211,0.1945,19.3,5.98810147470951,13.9068446706614,0,0.116959213308537
"GJ 1214 b","GJ 1214","Transit",1,8.41,2.733,567,0.0062,0.24,3101,0.2162,0.182,17.2,2.27166278045777,19.6469981711883,0,0.112679285659695
"GJ 143 b","GJ 143","Transit",1,22.7,2.61,422,0.188,0.003,4640,0.695,0.73,NA,7.03997467656859,33.0301615327752,0,0.0757394339286169
"GJ 3090 b","GJ 3090","Transit",1,3.34,2.13,693,0.32,-0.06,3556,0.516,0.519,NA,1.90578725499418,14.0249542859506,0,0.144778743026011
"GJ 3470 b","GJ 3470","Radial Velocity",1,13.9,4.57,593.5,NA,0.2,3600,0.547,0.539,NA,0.803032203399118,19.5329268098588,0,0.119430362010547
"GJ 3473 b","GJ 3473","Transit",1,1.86,1.264,773,0,0.11,3347,0.364,0.36,59.4,5.07853540110417,13.5862924218549,0,0.16515935087764
"GJ 367 b","GJ 367","Transit",1,0.633,0.699,1365,0.06,-0.01,3522,0.458,0.455,579,10.2197187620716,10.6581367897173,0,0.315975848979696
"GJ 3929 b","GJ 3929","Transit",1,1.75,1.09,568,0,-0.02,3384,0.32,0.313,17.3,7.45118449084924,14.1913528394175,0,0.11293404325784
"GJ 414 A b","GJ 414 A","Radial Velocity",1,7.6,2.63,308.6,0.45,0.24,4120,0.68,0.65,NA,2.30363203103085,19.0391232184614,0,0.0468499222989325
"GJ 414 A c","GJ 414 A","Radial Velocity",1,53.83,8.4,124.7,0.105,0.24,4120,0.68,0.65,NA,0.50078727324263,28.3524484539401,0,0
"GJ 486 b","GJ 486","Radial Velocity",1,2.77,1.289,696.3,0.00086,-0.15,3317,0.3243,0.312,39.2,7.1316131774348,16.4184233024774,0,0.14561944309989
"GJ 806 b","GJ 806","Transit",1,1.9,1.331,940,NA,-0.28,3600,0.4144,0.413,130,4.44310110864118,13.3815307191546,0,0.207703869767916
"GJ 9827 b","GJ 9827","Transit",1,4.28,1.44,1035.01,NA,-0.29,4236,0.58,0.62,NA,7.90356545781893,19.3089501412054,0,0.231908389167707
"GJ 9827 c","GJ 9827","Transit",1,1.86,1.13,715.94,NA,-0.29,4236,0.58,0.62,NA,7.10795018632654,14.3692887846612,0,0.150622882327465
"GJ 9827 d","GJ 9827","Transit",1,3.02,1.98,675,NA,-0.29,4236,0.58,0.62,34.9,2.14525110301052,13.8321248102986,0,0.140193106259394
"GPX-1 b","GPX-1","Transit",1,6261.2196179,16.47720163,2300,0,0.35,7000,1.56,1.68,4650,7.71747676489126,218.326153436154,0,0.554174203245612
"GQ Lup b","GQ Lup","Imaging",1,6356,33.6,2650,NA,NA,NA,NA,0.7,NA,0.923916702097506,154.042418400474,0,0.643339362596489
"GU Psc b","GU Psc","Imaging",1,3591.3,14.179,1050,NA,0.1,NA,NA,0.325,NA,6.94674952035781,178.246521858021,0,0.235727205563906
"Gliese 12 b","Gliese 12","Transit",1,3.87,0.958,314.6,0.5,-0.32,3296,0.2617,0.2414,1.62,24.2706383807158,22.5107907318622,1,0.0483784678878048
"HAT-P-1 b","HAT-P-1","Transit",1,166.86075,14.784671,1322,NA,0.13,5980,1.174,1.151,NA,0.284699011303306,37.6261069802758,0,0.305021272259445
"HAT-P-12 b","HAT-P-12","Transit",1,67.059,10.749,963,0,-0.29,4650,0.701,0.733,NA,0.297727976629152,27.9745125415925,0,0.213563294525259
"HAT-P-16 b","HAT-P-16","Transit",1,1332.605,14.448,1626,0.036,0.17,6158,1.237,1.218,NA,2.43637986270744,107.563487652498,0,0.382467582095636
"HAT-P-18 b","HAT-P-18","Transit",1,62.61,11.153,852,0.084,0.1,4803,0.749,0.77,NA,0.248848690056848,26.5365233356462,0,0.185285201131124
"HAT-P-19 b","HAT-P-19","Transit",1,88.03846874,11.29865255,981.2,NA,0.166,4962,0.773,0.807,154,0.336557506199344,31.2637404061897,0,0.218199882811505
"HAT-P-20 b","HAT-P-20","Transit",1,2302.899,9.718,970,0.015,0.35,4595,0.694,0.756,NA,13.8360132354455,172.411813871502,0,0.215346597712277
"HAT-P-23 b","HAT-P-23","Transit",1,664.237,15.334,2056,0.106,0.15,5905,1.203,1.13,NA,1.01583564637836,73.714313435161,0,0.492013349298143
"HAT-P-25 b","HAT-P-25","Transit",1,180.84527,12.722215,1182,0.023,0.294,5519,0.919,1.012,325,0.48426794623282,42.2270006051172,0,0.269355208519094
"HAT-P-28 b","HAT-P-28","Transit",1,198.953,13.585,1384,0.051,0.12,5680,1.103,1.025,NA,0.437560717433628,42.8611132934822,0,0.320816243344458
"HAT-P-32 b","HAT-P-32","Transit",1,216.1244,22.19382,1835.7,0.159,-0.16,6001,1.367,1.132,1841,0.10901201921482,34.9505402494879,0,0.435890250426719
"HAT-P-36 b","HAT-P-36","Transit",1,587.413406,14.313893,1780.97,NA,NA,5620,1.041,1.03,NA,1.10442776537569,71.7482092982397,0,0.421947367080223
"HAT-P-37 b","HAT-P-37","Transit",1,371.528,13.204,1271,0.058,0.03,5500,0.877,0.929,NA,0.889901142798607,59.4102034592389,0,0.292028634754032
"HAT-P-38 b","HAT-P-38","Transit",1,84.857,9.247,1082,0.067,0.06,5330,0.923,0.886,NA,0.591768525738198,33.92824775107,0,0.243879448704558
"HAT-P-39 b","HAT-P-39","Transit",1,190.372,17.609,1752,0,0.19,6430,1.625,1.404,NA,0.192249736806391,36.8258018665797,0,0.414567039461952
"HAT-P-4 b","HAT-P-4","Transit",1,213.255,14.28,1686,0,NA,5860,1.596,1.248,NA,0.403813990994322,43.2816222377282,0,0.397753037984358
"HAT-P-42 b","HAT-P-42","Transit",1,331.801,14.348,1428,0,0.27,5743,1.53,1.178,NA,0.61939878390227,53.8593594409242,0,0.332025577662854
"HAT-P-44 b","HAT-P-44","Transit",1,111.871,13.922,1108,0.044,0.33,5295,0.949,0.942,NA,0.228601667357213,31.7487015300399,0,0.250503146256337
"HAT-P-45 b","HAT-P-45","Transit",1,283.492,15.984,1652,0.049,0.07,6330,1.319,1.259,NA,0.382781691252089,47.1678076878933,0,0.389091279647415
"HAT-P-46 b","HAT-P-46","Transit",1,156.684,14.392,1458,0.123,0.3,6120,1.396,1.284,NA,0.289819738940455,36.9547077923174,0,0.339668305607215
"HAT-P-50 b","HAT-P-50","Transit",1,429.0705,14.437192,1862,0.115,-0.18,6280,1.698,1.273,NA,0.786225674191656,61.0577764904628,0,0.442590375257942
"HAT-P-51 b","HAT-P-51","Transit",1,97.57332095,13.50682174,1168.2,NA,0.302,5453,0.995,0.961,310,0.21834253280028,30.1028061480919,0,0.265839553664688
"HAT-P-52 b","HAT-P-52","Transit",1,259.98494,11.309881,1218,0.047,0.28,5131,0.893,0.887,NA,0.990925140986435,53.6986170125173,0,0.278526482052327
"HAT-P-53 b","HAT-P-53","Transit",1,471.65972,14.773462,1778,0.134,0,5956,1.209,1.093,NA,0.806582346277913,63.283614655239,0,0.421190737013731
"HAT-P-54 b","HAT-P-54","Transit",1,241.5508,10.581296,818,0.074,-0.127,4390,0.617,0.645,NA,1.12423901193166,53.5122030705641,0,0.176623442794181
"HAT-P-55 b","HAT-P-55","Transit",1,189.42573057,14.84069045,1367,NA,0.003,5804,1.105,1.028,583,0.319553378064885,40.0138606013802,0,0.316485364175987
"HAT-P-58 b","HAT-P-58","Transit",1,118.2321674,14.93036229,1622,0.073,-0.224,6078,1.53,1.031,1146,0.195880576873026,31.5174211584874,0,0.381448551703055
"HAT-P-59 b","HAT-P-59","Transit",1,489.45574678,12.58768533,1277.8,0.03,0.217,5678,1.1038,1.008,441.4,1.35313946432601,69.8396090789029,0,0.29376098642142
"HAT-P-60 b","HAT-P-60","Transit",1,182.43350562,18.28184752,1772,0.25,0.037,6212,2.197,1.435,1634,0.164630811221025,35.3801999727291,0,0.419662191424859
"HAT-P-61 b","HAT-P-61","Transit",1,335.9446262,10.07687365,1505,0.113,0.194,5587,0.938,1.004,849.5,1.81032696699102,64.6679308622862,0,0.351641912720047
"HAT-P-62 b","HAT-P-62","Transit",1,241.86741773,12.02723629,1512,0.101,0.414,5629,1.17,1.023,867.2,0.766560787689555,50.2254440372347,0,0.353425215907064
"HAT-P-63 b","HAT-P-63","Transit",1,195.1466419,12.5428494,1237,0.069,0.251,5400,0.9661,0.925,387.4,0.545304674615701,44.1774312735175,0,0.283366876417089
"HAT-P-64 b","HAT-P-64","Transit",1,184.34047606,19.08889413,1766,0.101,-0.113,6457,1.735,1.298,1611,0.14613194293371,34.8047076680507,0,0.418133645835987
