"pl_name","hostname","discoverymethod","default_flag","pl_eqt","pl_insol","pl_eqt_est","pl_orbeccen","st_met","st_teff","st_rad","st_mass","T_used","can_hold_water_temp","WRI_temp_prob"
"1RXS J160929.1-210524 b","1RXS J160929.1-210524","Imaging",1,1700,NA,1700,NA,NA,4060,NA,0.85,1700,0,2.58420845343183e-09
"2M0437 b","2MASS J04372171+2651014","Imaging",1,1450,NA,1450,NA,0.01,3100,0.84,0.17,1450,0,8.71155472498925e-08
"2MASS J03590986+2009361 b","2MASS J03590986+2009361","Imaging",1,2369,NA,2369,NA,NA,NA,NA,NA,2369,0,2.10872496472383e-13
"2MASS J11011926-7732383 b","2MASS J11011926-7732383","Imaging",1,2677,NA,2677,NA,NA,NA,NA,NA,2677,0,2.76572861271913e-15
"2MASS J11550485-7919108 b","2MASS J11550485-7919108","Imaging",1,2506,NA,2506,NA,NA,NA,NA,NA,2506,0,3.06763006998716e-14
"2MASS J12073346-3932539 b","2MASS J12073346-3932539","Imaging",1,1250,NA,1250,NA,NA,NA,NA,0.024,1250,0,1.45314718970977e-06
"2MASS J21252752-8138278 b","2MASS J21252752-8138278","Imaging",1,1616,NA,1616,NA,NA,NA,NA,NA,1616,0,8.42670213888902e-09
"51 Eri b","51 Eri","Imaging",1,700,NA,700,NA,-0.027,NA,NA,1.75,700,0,0.00332623724249351
"AU Mic b","AU Mic","Transit",1,600,21.2,600,0.00577,0.23,3678,0.744,0.51,600,0,0.0134470756967497
"AU Mic c","AU Mic","Transit",1,459,7.3,459,0.00338,0.23,3678,0.744,0.51,459,0,0.0901826362091846
"BD+05 4868 A b","BD+05 4868 A","Transit",1,1820,NA,1820,NA,-0.05,4596,0.69,0.7,1820,0,4.77527982185041e-10
"BD+60 1417 b","BD+60 1417","Imaging",1,1303,NA,1303,NA,NA,4993,0.797,1,1303,0,6.89323504837154e-07
"BD-14 3065 b","BD-14 3065 A","Transit",1,2001,NA,2001,0.066,-0.34,6935,2.35,1.41,2001,0,3.74019870565204e-11
"BD-210397 b","BD-210397","Radial Velocity",1,NA,0.02,104.732796142456,0.1,0.12,4051,0.747,0.679,104.732796142456,0,0.935449582011787
"Barnard b","Barnard's star","Radial Velocity",1,438,NA,438,0.03,-0.56,3195,0.185,0.162,438,0,0.117542525349302
"Barnard c","Barnard's star","Radial Velocity",1,400,NA,400,0.08,-0.56,3195,0.185,0.162,400,0,0.185245879776266
"Barnard d","Barnard's star","Radial Velocity",1,483,NA,483,0.04,-0.56,3195,0.185,0.162,483,0,0.0660434332310213
"Barnard e","Barnard's star","Radial Velocity",1,340,NA,340,0.04,-0.56,3195,0.185,0.162,340,1,0.345941646306859
"CD Cet b","CD Cet","Radial Velocity",1,464,8.6,464,NA,0.13,3130,0.175,0.161,464,0,0.0845739489831532
"CFBDSIR J145829+101343 b","CFBDSIR J145829+101343","Imaging",1,370,NA,370,NA,NA,580.5,NA,0.021,370,0,0.257488288040695
"CFHTWIR-Oph 98 b","CFHTWIR-Oph 98 A","Imaging",1,1800,NA,1800,NA,NA,2320,0.245,0.0147,1800,0,6.3273269824649e-10
"CT Cha b","CT Cha","Imaging",1,2600,NA,2600,NA,NA,NA,NA,NA,2600,0,8.17263601039609e-15
"CoRoT-1 b","CoRoT-1","Transit",1,1898,NA,1898,0,-0.3,5950,1.11,0.95,1898,0,1.59343795888429e-10
"CoRoT-10 b","CoRoT-10","Transit",1,600,NA,600,0.53,0.26,5075,0.79,0.89,600,0,0.0134470756967497
"CoRoT-11 b","CoRoT-11","Transit",1,1657,NA,1657,0,-0.03,6440,1.37,1.27,1657,0,4.73264213460021e-09
"CoRoT-12 b","CoRoT-12","Transit",1,1442,NA,1442,0.07,0.16,5675,1.116,1.078,1442,0,9.74954270380678e-08
"CoRoT-13 b","CoRoT-13","Transit",1,1700,NA,1700,0,0.01,5945,1.01,1.09,1700,0,2.58420845343183e-09
"CoRoT-14 b","CoRoT-14","Transit",1,1952,NA,1952,0,0.05,6035,1.21,1.13,1952,0,7.45310492931254e-11
"CoRoT-17 b","CoRoT-17","Transit",1,1626,NA,1626,0,0,5740,1.59,1.04,1626,0,7.32060403722529e-09
"CoRoT-18 b","CoRoT-18","Transit",1,1550,NA,1550,0.08,-0.1,5440,1,0.95,1550,0,2.13298809993594e-08
"CoRoT-19 b","CoRoT-19","Transit",1,2000,NA,2000,0.047,-0.02,6090,1.65,1.21,2000,0,3.79320005550161e-11
"CoRoT-22 b","CoRoT-22","Transit",1,885,NA,885,0.077,0.17,5939,1.136,1.099,885,0,0.000247027020265475
"CoRoT-23 b","CoRoT-23","Transit",1,1660,NA,1660,0.16,0.05,5900,1.61,1.14,1660,0,4.5370174335226e-09
"CoRoT-24 b","CoRoT-24","Transit",1,1070,NA,1070,0,0.3,4950,0.86,0.91,1070,0,1.82934395672616e-05
"CoRoT-24 c","CoRoT-24","Transit",1,850,NA,850,0,0.3,4950,0.86,0.91,850,0,0.000404169683433244
"CoRoT-25 b","CoRoT-25","Transit",1,1330,NA,1330,0,-0.01,6040,1.19,1.09,1330,0,4.71437603619081e-07
"CoRoT-26 b","CoRoT-26","Transit",1,1600,NA,1600,0,0.01,5590,1.79,1.09,1600,0,1.05544305029626e-08
"CoRoT-27 b","CoRoT-27","Transit",1,1500,NA,1500,0.065,-0.1,5900,1.08,1.05,1500,0,4.31064298840213e-08
"CoRoT-32 b","CoRoT-32","Transit",1,938,132.26,938,NA,0,5970,0.79,1.08,938,0,0.000117196327911232
"CoRoT-35 b","CoRoT-35","Transit",1,1747,NA,1747,0,-0.5,6390,1.65,1.01,1747,0,1.33385041638541e-09
"CoRoT-36 b","CoRoT-36","Transit",1,1567,NA,1567,0,-0.1,6730,1.52,1.32,1567,0,1.67919139245858e-08
"CoRoT-4 b","CoRoT-4","Transit",1,1074,NA,1074,0,NA,6190,1.17,1.16,1074,0,1.72922503418585e-05
