"seed","train_positives","test_positives"
40,"TOI-1452 b, TOI-2095 b, TOI-2088 b, K2-18 b, LP 890-9 c","Gliese 12 b, K2-3 d, Kepler-138 d, Kepler-1704 b, Kepler-22 b, Kepler-553 c, Kepler-62 e, Kepler-62 f, LHS 1140 b, TOI-2095 c, TOI-2180 b, TOI-4600 b, Earth"
41,"Kepler-62 e, K2-3 d, Kepler-1704 b, TOI-2095 b, Earth","Gliese 12 b, K2-18 b, Kepler-138 d, Kepler-22 b, Kepler-553 c, Kepler-62 f, LHS 1140 b, LP 890-9 c, TOI-1452 b, TOI-2088 b, TOI-2095 c, TOI-2180 b, TOI-4600 b"
42,"TOI-4600 b, Kepler-1704 b, Gliese 12 b, Kepler-62 f, LHS 1140 b","K2-18 b, K2-3 d, Kepler-138 d, Kepler-22 b, Kepler-553 c, Kepler-62 e, LP 890-9 c, TOI-1452 b, TOI-2088 b, TOI-2095 b, TOI-2095 c, TOI-2180 b, Earth"
43,"TOI-1452 b, Kepler-62 e, Kepler-138 d, Kepler-1704 b, K2-18 b","Gliese 12 b, K2-3 d, Kepler-22 b, Kepler-553 c, Kepler-62 f, LHS 1140 b, LP 890-9 c, TOI-2088 b, TOI-2095 b, TOI-2095 c, TOI-2180 b, TOI-4600 b, Earth"
44,"TOI-4600 b, LP 890-9 c, K2-3 d, Gliese 12 b, TOI-2095 b","K2-18 b, Kepler-138 d, Kepler-1704 b, Kepler-22 b, Kepler-553 c, Kepler-62 e, Kepler-62 f, LHS 1140 b, TOI-1452 b, TOI-2088 b, TOI-2095 c, TOI-2180 b, Earth"
45,"Kepler-1704 b, LP 890-9 c, TOI-2095 b, Kepler-553 c, LHS 1140 b","Gliese 12 b, K2-18 b, K2-3 d, Kepler-138 d, Kepler-22 b, Kepler-62 e, Kepler-62 f, TOI-1452 b, TOI-2088 b, TOI-2095 c, TOI-2180 b, TOI-4600 b, Earth"
46,"Earth, TOI-2095 b, Gliese 12 b, TOI-1452 b, Kepler-138 d","K2-18 b, K2-3 d, Kepler-1704 b, Kepler-22 b, Kepler-553 c, Kepler-62 e, Kepler-62 f, LHS 1140 b, LP 890-9 c, TOI-2088 b, TOI-2095 c, TOI-2180 b, TOI-4600 b"
47,"Earth, TOI-2095 c, Kepler-138 d, Gliese 12 b, LHS 1140 b","K2-18 b, K2-3 d, Kepler-1704 b, Kepler-22 b, Kepler-553 c, Kepler-62 e, Kepler-62 f, LP 890-9 c, TOI-1452 b, TOI-2088 b, TOI-2095 b, TOI-2180 b, TOI-4600 b"
48,"Kepler-1704 b, LHS 1140 b, K2-3 d, Kepler-62 f, TOI-2095 c","Gliese 12 b, K2-18 b, Kepler-138 d, Kepler-22 b, Kepler-553 c, Kepler-62 e, LP 890-9 c, TOI-1452 b, TOI-2088 b, TOI-2095 b, TOI-2180 b, TOI-4600 b, Earth"
49,"Kepler-1704 b, TOI-2095 c, TOI-2180 b, LHS 1140 b, LP 890-9 c","Gliese 12 b, K2-18 b, K2-3 d, Kepler-138 d, Kepler-22 b, Kepler-553 c, Kepler-62 e, Kepler-62 f, TOI-1452 b, TOI-2088 b, TOI-2095 b, TOI-4600 b, Earth"
50,"TOI-2180 b, LP 890-9 c, Kepler-138 d, TOI-2095 c, K2-18 b","Gliese 12 b, K2-3 d, Kepler-1704 b, Kepler-22 b, Kepler-553 c, Kepler-62 e, Kepler-62 f, LHS 1140 b, TOI-1452 b, TOI-2088 b, TOI-2095 b, TOI-4600 b, Earth"
51,"Kepler-553 c, TOI-2095 b, Kepler-62 e, TOI-2088 b, LP 890-9 c","Gliese 12 b, K2-18 b, K2-3 d, Kepler-138 d, Kepler-1704 b, Kepler-22 b, Kepler-62 f, LHS 1140 b, TOI-1452 b, TOI-2095 c, TOI-2180 b, TOI-4600 b, Earth"
52,"Earth, Kepler-1704 b, TOI-2095 b, Kepler-553 c, TOI-1452 b","Gliese 12 b, K2-18 b, K2-3 d, Kepler-138 d, Kepler-22 b, Kepler-62 e, Kepler-62 f, LHS 1140 b, LP 890-9 c, TOI-2088 b, TOI-2095 c, TOI-2180 b, TOI-4600 b"
53,"Kepler-22 b, Kepler-62 e, K2-3 d, TOI-1452 b, Kepler-1704 b","Gliese 12 b, K2-18 b, Kepler-138 d, Kepler-553 c, Kepler-62 f, LHS 1140 b, LP 890-9 c, TOI-2088 b, TOI-2095 b, TOI-2095 c, TOI-2180 b, TOI-4600 b, Earth"
54,"Kepler-553 c, K2-3 d, TOI-2088 b, TOI-1452 b, Kepler-22 b","Gliese 12 b, K2-18 b, Kepler-138 d, Kepler-1704 b, Kepler-62 e, Kepler-62 f, LHS 1140 b, LP 890-9 c, TOI-2095 b, TOI-2095 c, TOI-2180 b, TOI-4600 b, Earth"
55,"K2-3 d, TOI-2088 b, Gliese 12 b, TOI-1452 b, TOI-2095 c","K2-18 b, Kepler-138 d, Kepler-1704 b, Kepler-22 b, Kepler-553 c, Kepler-62 e, Kepler-62 f, LHS 1140 b, LP 890-9 c, TOI-2095 b, TOI-2180 b, TOI-4600 b, Earth"
56,"Gliese 12 b, K2-3 d, LHS 1140 b, Kepler-22 b, Kepler-553 c","K2-18 b, Kepler-138 d, Kepler-1704 b, Kepler-62 e, Kepler-62 f, LP 890-9 c, TOI-1452 b, TOI-2088 b, TOI-2095 b, TOI-2095 c, TOI-2180 b, TOI-4600 b, Earth"
