"seed","recovered_count","recovered_planets","true_in_top20"
40,8,"Gliese 12 b, K2-3 d, Kepler-22 b, Kepler-62 e, Kepler-62 f, LHS 1140 b, TOI-2095 c, Earth",9
41,3,"Kepler-553 c, Kepler-62 f, LHS 1140 b",10
42,1,"Earth",10
43,5,"Kepler-22 b, Kepler-62 f, LHS 1140 b, LP 890-9 c, Earth",10
44,7,"K2-18 b, Kepler-22 b, Kepler-62 e, Kepler-62 f, LHS 1140 b, TOI-2095 c, Earth",8
45,3,"Kepler-62 e, Kepler-62 f, Earth",10
46,3,"K2-3 d, Kepler-22 b, LHS 1140 b",9
47,1,"Kepler-62 f",10
48,4,"Kepler-553 c, Kepler-62 e, LP 890-9 c, Earth",9
49,2,"Kepler-62 f, Earth",11
50,5,"Kepler-1704 b, Kepler-553 c, Kepler-62 f, LHS 1140 b, Earth",10
51,3,"Kepler-62 f, LHS 1140 b, Earth",10
52,0,"",12
53,7,"Gliese 12 b, K2-18 b, Kepler-62 f, LHS 1140 b, LP 890-9 c, TOI-2095 c, Earth",10
54,7,"K2-18 b, Kepler-62 e, Kepler-62 f, LHS 1140 b, LP 890-9 c, TOI-2095 c, Earth",9
55,7,"K2-18 b, Kepler-22 b, Kepler-62 e, Kepler-62 f, LHS 1140 b, LP 890-9 c, Earth",9
56,4,"Kepler-62 e, Kepler-62 f, LP 890-9 c, Earth",9
57,0,"",12
58,0,"",10
59,5,"Kepler-62 e, Kepler-62 f, LHS 1140 b, LP 890-9 c, Earth",10
60,3,"Kepler-553 c, Kepler-62 f, Earth",10
