"pl_name","count","percent_of_seeds"
"Kepler-22 b",18,85.7142857142857
"Kepler-62 f",18,85.7142857142857
"Kepler-1661 b",17,80.9523809523809
"Kepler-62 e",17,80.9523809523809
"TOI-2088 b",17,80.9523809523809
"GJ 414 A c",16,76.1904761904762
"K2-18 b",16,76.1904761904762
"Kepler-167 e",16,76.1904761904762
"TOI-2095 c",16,76.1904761904762
"Earth",15,71.4285714285714
"GJ 414 A b",15,71.4285714285714
"Gliese 12 b",14,66.6666666666667
"LHS 1140 b",14,66.6666666666667
"LP 890-9 c",14,66.6666666666667
"TOI-2134 c",14,66.6666666666667
"EPIC 248847494 b",13,61.9047619047619
"WD 1856+534 b",13,61.9047619047619
"K2-3 d",12,57.1428571428571
"Kepler-1654 b",12,57.1428571428571
"KOI-4777.01",12,57.1428571428571
"K2-416 b",11,52.3809523809524
"TOI-4600 c",11,52.3809523809524
"LP 791-18 c",10,47.6190476190476
"PH2 b",9,42.8571428571429
"TOI-1231 b",9,42.8571428571429
"TOI-1468 c",9,42.8571428571429
"Kepler-1704 b",7,33.3333333333333
"Kepler-553 c",7,33.3333333333333
"TOI-1452 b",6,28.5714285714286
"TOI-1266 c",5,23.8095238095238
"TOI-2095 b",5,23.8095238095238
"TOI-4600 b",5,23.8095238095238
"Kepler-138 d",4,19.047619047619
"TOI-1221 b",4,19.047619047619
"K2-3 c",3,14.2857142857143
"KOI-3680 b",3,14.2857142857143
"Kepler-51 d",2,9.52380952380952
"Kepler-62 c",2,9.52380952380952
"TOI-2180 b",2,9.52380952380952
"TOI-406.01",2,9.52380952380952
"Kepler-111 c",1,4.76190476190476
"LTT 3780 c",1,4.76190476190476
"TOI-1470 c",1,4.76190476190476
"TOI-2537 b",1,4.76190476190476
"WISEP J121756.91+162640.2 A b",1,4.76190476190476
