pl_name,hostname,discoverymethod,default_flag,pl_bmasse,pl_rade,pl_eqt,pl_orbeccen,st_met,st_teff,st_rad,st_mass,pl_insol
BD+60 1417 b,BD+60 1417,Imaging,1,4767.426105,14.68376472,1303.0,,,4993.0,0.797,1.0,
BD-14 3065 b,BD-14 3065 A,Transit,1,3932.0,21.59,2001.0,0.066,-0.34,6935.0,2.35,1.41,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,Imaging,1,2479.0615746,20.8487041,1800.0,,,2320.0,0.245,0.0147,
CT Cha b,CT Cha,Imaging,1,5403.0,24.66,2600.0,,,,,,
CoRoT-1 b,CoRoT-1,Transit,1,327.35,16.7,1898.0,0.0,-0.3,5950.0,1.11,0.95,
CoRoT-10 b,CoRoT-10,Transit,1,874.0,10.87,600.0,0.53,0.26,5075.0,0.79,0.89,
CoRoT-11 b,CoRoT-11,Transit,1,740.51,16.03,1657.0,0.0,-0.03,6440.0,1.37,1.27,
CoRoT-12 b,CoRoT-12,Transit,1,291.438,16.14,1442.0,0.07,0.16,5675.0,1.116,1.078,
CoRoT-13 b,CoRoT-13,Transit,1,415.704,9.92,1700.0,0.0,0.01,5945.0,1.01,1.09,
CoRoT-14 b,CoRoT-14,Transit,1,2415.4,12.22,1952.0,0.0,0.05,6035.0,1.21,1.13,
CoRoT-17 b,CoRoT-17,Transit,1,772.29,11.43,1626.0,0.0,0.0,5740.0,1.59,1.04,
CoRoT-18 b,CoRoT-18,Transit,1,1102.82,14.68,1550.0,0.08,-0.1,5440.0,1.0,0.95,
CoRoT-19 b,CoRoT-19,Transit,1,352.78,14.46,2000.0,0.047,-0.02,6090.0,1.65,1.21,
CoRoT-22 b,CoRoT-22,Transit,1,12.2,4.88,885.0,0.077,0.17,5939.0,1.136,1.099,
CoRoT-23 b,CoRoT-23,Transit,1,889.9,11.77,1660.0,0.16,0.05,5900.0,1.61,1.14,
CoRoT-24 b,CoRoT-24,Transit,1,5.7,3.7,1070.0,0.0,0.3,4950.0,0.86,0.91,
CoRoT-24 c,CoRoT-24,Transit,1,28.0,5.0,850.0,0.0,0.3,4950.0,0.86,0.91,
CoRoT-25 b,CoRoT-25,Transit,1,85.81,12.11,1330.0,0.0,-0.01,6040.0,1.19,1.09,
CoRoT-26 b,CoRoT-26,Transit,1,165.26,14.12,1600.0,0.0,0.01,5590.0,1.79,1.09,
CoRoT-27 b,CoRoT-27,Transit,1,3302.11,11.287,1500.0,0.065,-0.1,5900.0,1.08,1.05,
CoRoT-32 b,CoRoT-32,Transit,1,47.6745,6.38913,938.0,,0.0,5970.0,0.79,1.08,132.26
CoRoT-35 b,CoRoT-35,Transit,1,349.6112477,18.83108758,1747.0,0.0,-0.5,6390.0,1.65,1.01,
CoRoT-36 b,CoRoT-36,Transit,1,216.12331676,15.80466279,1567.0,0.0,-0.1,6730.0,1.52,1.32,
CoRoT-4 b,CoRoT-4,Transit,1,228.83,13.34,1074.0,0.0,,6190.0,1.17,1.16,
CoRoT-5 b,CoRoT-5,Transit,1,148.42,15.558,1438.0,0.09,-0.25,6100.0,1.186,1.0,
CoRoT-6 b,CoRoT-6,Transit,1,940.74,13.068,1017.0,0.1,-0.2,6090.0,1.025,1.05,
CoRoT-9 b,CoRoT-9,Transit,1,266.9772,11.948794,420.0,0.133,-0.01,5625.0,0.96,0.96,
EPIC 201595106 b,EPIC 201595106,Transit,1,7.67,1.565,2038.0,0.0,0.01,5679.0,0.98,0.958,2852.0
EPIC 220674823 b,EPIC 220674823,Transit,1,7.8,1.676,2299.0,0.0,-0.005,5578.0,0.99,0.913,4656.0
EPIC 220674823 c,EPIC 220674823,Transit,1,7.32,2.84,804.0,0.17,-0.005,5578.0,0.99,0.913,70.0
EPIC 229004835 b,EPIC 229004835,Transit,1,10.4,2.332,804.0,0.23,-0.12,5868.0,0.999,0.97,69.7
EPIC 246851721 b,EPIC 246851721,Transit,1,953.49,11.780659,1401.0,,0.141,6202.0,1.586,1.317,642.0
EPIC 248847494 b,EPIC 248847494,Transit,1,4131.79,12.44199,183.0,0.0,-0.23,4898.0,2.7,0.9,0.19
EPIC 249893012 b,EPIC 249893012,Transit,1,8.75,1.95,1616.0,0.06,0.2,5430.0,1.71,1.05,1037.0
EPIC 249893012 c,EPIC 249893012,Transit,1,14.67,3.67,990.0,0.07,0.2,5430.0,1.71,1.05,160.0
EPIC 249893012 d,EPIC 249893012,Transit,1,10.18,3.94,752.0,0.15,0.2,5430.0,1.71,1.05,53.0
G 9-40 b,G 9-40,Transit,1,4.0,1.9,440.6,0.0,-0.07,3395.0,0.3026,0.2952,6.27
GJ 1132 b,GJ 1132,Transit,1,1.83704819,1.19151465,583.8,0.0118,-0.17,3229.0,0.2211,0.1945,19.3
GJ 1214 b,GJ 1214,Transit,1,8.41,2.733,567.0,0.0062,0.24,3101.0,0.2162,0.182,17.2
GJ 143 b,GJ 143,Transit,1,22.7,2.61,422.0,0.188,0.003,4640.0,0.695,0.73,
GJ 3090 b,GJ 3090,Transit,1,3.34,2.13,693.0,0.32,-0.06,3556.0,0.516,0.519,
GJ 3470 b,GJ 3470,Radial Velocity,1,13.9,4.57,593.5,,0.2,3600.0,0.547,0.539,
GJ 3473 b,GJ 3473,Transit,1,1.86,1.264,773.0,0.0,0.11,3347.0,0.364,0.36,59.4
GJ 367 b,GJ 367,Transit,1,0.633,0.699,1365.0,0.06,-0.01,3522.0,0.458,0.455,579.0
GJ 3929 b,GJ 3929,Transit,1,1.75,1.09,568.0,0.0,-0.02,3384.0,0.32,0.313,17.3
GJ 414 A b,GJ 414 A,Radial Velocity,1,7.6,2.63,308.6,0.45,0.24,4120.0,0.68,0.65,
GJ 414 A c,GJ 414 A,Radial Velocity,1,53.83,8.4,124.7,0.105,0.24,4120.0,0.68,0.65,
GJ 486 b,GJ 486,Radial Velocity,1,2.77,1.289,696.3,0.00086,-0.15,3317.0,0.3243,0.312,39.2
GJ 806 b,GJ 806,Transit,1,1.9,1.331,940.0,,-0.28,3600.0,0.4144,0.413,130.0
GJ 9827 b,GJ 9827,Transit,1,4.28,1.44,1035.01,,-0.29,4236.0,0.58,0.62,
GJ 9827 c,GJ 9827,Transit,1,1.86,1.13,715.94,,-0.29,4236.0,0.58,0.62,
GJ 9827 d,GJ 9827,Transit,1,3.02,1.98,675.0,,-0.29,4236.0,0.58,0.62,34.9
GPX-1 b,GPX-1,Transit,1,6261.2196179,16.47720163,2300.0,0.0,0.35,7000.0,1.56,1.68,4650.0
GQ Lup b,GQ Lup,Imaging,1,6356.0,33.6,2650.0,,,,,0.7,
GU Psc b,GU Psc,Imaging,1,3591.3,14.179,1050.0,,0.1,,,0.325,
Gliese 12 b,Gliese 12,Transit,1,3.87,0.958,314.6,0.5,-0.32,3296.0,0.2617,0.2414,1.62
HAT-P-1 b,HAT-P-1,Transit,1,166.86075,14.784671,1322.0,,0.13,5980.0,1.174,1.151,
HAT-P-12 b,HAT-P-12,Transit,1,67.059,10.749,963.0,0.0,-0.29,4650.0,0.701,0.733,
HAT-P-16 b,HAT-P-16,Transit,1,1332.605,14.448,1626.0,0.036,0.17,6158.0,1.237,1.218,
HAT-P-18 b,HAT-P-18,Transit,1,62.61,11.153,852.0,0.084,0.1,4803.0,0.749,0.77,
HAT-P-19 b,HAT-P-19,Transit,1,88.03846874,11.29865255,981.2,,0.166,4962.0,0.773,0.807,154.0
HAT-P-20 b,HAT-P-20,Transit,1,2302.899,9.718,970.0,0.015,0.35,4595.0,0.694,0.756,
HAT-P-23 b,HAT-P-23,Transit,1,664.237,15.334,2056.0,0.106,0.15,5905.0,1.203,1.13,
HAT-P-25 b,HAT-P-25,Transit,1,180.84527,12.722215,1182.0,0.023,0.294,5519.0,0.919,1.012,325.0
HAT-P-28 b,HAT-P-28,Transit,1,198.953,13.585,1384.0,0.051,0.12,5680.0,1.103,1.025,
HAT-P-32 b,HAT-P-32,Transit,1,216.1244,22.19382,1835.7,0.159,-0.16,6001.0,1.367,1.132,1841.0
HAT-P-36 b,HAT-P-36,Transit,1,587.413406,14.313893,1780.97,,,5620.0,1.041,1.03,
