"pl_name","pl_eqt","v_esc_kms","density_gcc","WRS"
"Earth",288.15,11.19,5.51,1
"K2-3 d",305.2,13.76,3.91,0.8441
"Kepler-138 d",345,13.21,3.36,0.7636
"Kepler-22 b",279,23.31,5.42,0.7395
"LP 791-18 d",395.5,10.46,4.52,0.7335
"K2-18 b",284,21.73,3.69,0.7321
"TOI-1452 b",326,19.02,5.69,0.7209
"TOI-1266 c",346,14.17,2.25,0.7204
"GJ 414 A b",308.6,19.04,2.3,0.7065
"TOI-1468 c",338.1,15.55,2.35,0.705
"L 98-59 d",416,11.24,2.1,0.6881
"Kepler-51 d",381,9.91,0.05,0.6836
"K2-3 c",371.8,14.58,3.73,0.6832
"Kepler-87 c",403,11.43,0.15,0.6827
"LP 791-18 c",324.4,19.11,2.7,0.6747
"LHS 1140 c",422,13.72,5.12,0.6531
"LHS 1140 b",226,20.15,5.96,0.6489
"TOI-2088 b",300.33,35.5,4.08,0.6445
"Kepler-138 c",410,13.82,3.68,0.6395
"TOI-2134 c",306,26.88,0.6,0.6199
"PH2 b",295.1,34.2,0.59,0.6167
"TOI-2095 c",297,26.42,17.34,0.6164
"TOI-1231 b",329.6,23.01,1.75,0.6066
"Gliese 12 b",314.6,22.51,24.27,0.6
"TOI-406.01",368,19.91,4.03,0.5979
"K2-136 d",420,15.51,4.32,0.5956
"TOI-270 d",387,16.77,2.72,0.5948
"LTT 3780 c",359,20.54,3.25,0.5934
"Kepler-1661 b",243,23.47,1.62,0.5932
"TOI-2095 b",347,20.28,11.57,0.5816
"LTT 1445 A c",508,12.98,5.63,0.5796
"Kepler-37 d",499,11.12,1.32,0.5784
"TOI-1470 c",373,19.18,2.65,0.5778
"Kepler-1704 b",253.8,117.81,4.27,0.5774
"TOI-1266 b",415,14.9,1.54,0.577
"TOI-2120 b",384,20.05,3.92,0.5665
"TOI-244 b",458,14.87,4.21,0.5581
"Kepler-553 c",251,151.89,7.56,0.5571
"TOI-2136 b",395,19.1,3.34,0.552
"TOI-178 g",470,13.12,0.92,0.5462
"LP 890-9 c",272,48.18,54.61,0.5413
"Kepler-62 e",270,52.96,47.57,0.5346
"G 9-40 b",440.6,16.25,3.22,0.5331
"Kepler-51 c",439,7.47,0.03,0.5306
"L 98-59 c",526,13.74,4.7,0.5256
"HD 191939 d",540,10.83,0.57,0.5241
"TOI-4438 b",435,16.4,1.86,0.5202
"HD 23472 c",467,15.12,2.88,0.52
"TOI-270 b",581,12.82,4.97,0.514
"TOI-776 c",420,20.56,4.44,0.5139
"TOI-2180 b",348,98.5,3.33,0.5082
"TOI-2537 b",338,68.05,1.61,0.5069
"Kepler-111 c",352.2,62.77,3.45,0.5028
"TOI-286 c",475,15.75,3.09,0.5
"KOI-3680 b",347,83.27,2.48,0.4983
"TOI-771 b",543,15.09,5.41,0.4939
"KOI-1831 d",475,15.73,8.52,0.4924
"GJ 1132 b",583.8,13.91,5.99,0.4831
"TOI-406 c",584,14.06,4.99,0.478
"Kepler-849 b",362.7,68.1,3.12,0.4776
"HIP 9618 c",470.31,16,0.96,0.4757
"TOI-561 e",416,24.86,4.29,0.4751
"TOI-260 b",493,17.62,4.66,0.4727
"HD 136352 d",431,20.78,2.89,0.4702
"HD 110067 f",489,15.59,1.58,0.4699
"TOI-1450 A b",722,11.82,4.81,0.469
"HD 95338 b",385,36.99,3.98,0.4683
"Kepler-1514 b",387.9,130.19,4.83,0.464
"HD 28109 d",506.5,14.81,0.91,0.4636
"Kepler-538 b",417,27.03,6.55,0.4629
"HD 110067 g",440,20.1,2.61,0.4629
"TOI-1064 c",634,10.88,0.74,0.4628
"Kepler-411 d",410,23.97,2.29,0.4603
"TOI-663 d",482,18.43,4.05,0.4589
"GJ 3929 b",568,14.19,7.45,0.4587
"Kepler-138 b",452,3.7,1.47,0.4546
"TOI-4600 b",347,133.06,16.83,0.4519
"TOI-1448 b",426,29.83,5.18,0.4514
"Kepler-20 d",430,25.4,4.17,0.4493
"HD 260655 c",557,15.9,4.73,0.4492
"HD 23472 e",723,10.51,7.25,0.4468
"Kepler-1654 b",206,46.6,1.13,0.4455
"TOI-663 c",553,14.23,1.74,0.445
"TOI-1759 b",443,20.77,1.92,0.4424
"L 98-59 b",620,8.3,4.33,0.4408
"TOI-782 b",435,29.6,5.15,0.4396
"K2-3 b",501.3,17.56,3.14,0.4383
"HD 110067 e",533,15.88,2.95,0.4382
"TOI-2443 b",519,15.96,2.01,0.4371
"HD 23472 f",630,9.22,2.89,0.4362
"TOI-270 c",488,18.1,2.6,0.4354
"TOI-1801 b",493.7,18.61,3.52,0.4348
"Kepler-539 b",387.6,67.96,2.9,0.431
"TOI-776 b",520,18.68,4.74,0.4309
"K2-419 A b",377,48.27,0.92,0.4309
"TOI-1899 b",378,49.06,0.86,0.4283
"LHS 1478 b",595,15.34,6.71,0.4258
"GJ 143 b",422,33.03,7.04,0.4209
"TOI-178 d",690,12.12,0.98,0.4171
"TOI-1246 d",587.77,14.05,0.74,0.4147
"K2-141 c",695,11.97,0.13,0.4128
"TOI-6894 b",417.9,26.44,0.33,0.4118
"TOI-2406 b",449,26.16,3.68,0.4105
"TOI-6324 b",1216,11.77,5.43,0.4105
"K2-32 d",550,15.53,0.87,0.4084
"Kepler-62 f",208,55.8,68.85,0.4058
"K2-263 b",470,27.85,5.87,0.4047
"GJ 3473 b",773,13.59,5.08,0.4046
"HD 88986 b",460,29.44,6.14,0.4024
"TOI-178 e",600,14.81,1.98,0.3999
"HD 35843 c",479,23.64,3.81,0.3964
"K2-266 c",664.5,7.18,4.57,0.3948
"TOI-1246 e",463.98,22.75,1.84,0.3945
"TOI-2010 b",400.2,65.88,1.37,0.3931
"HD 260655 b",709,14.71,6.19,0.3922
"Kepler-51 b",543,6.09,0.03,0.3916
"TOI-3884 b",441,25.21,0.68,0.3912
"Kepler-20 e",1004,10.78,7.57,0.391
"TOI-178 b",1040,12.78,5.41,0.3891
"Kepler-20 f",681,13.58,8.95,0.3886
"HD 73583 c",498,22.56,3.92,0.3882
"EPIC 248847494 b",183,204.1,11.83,0.3868
"GJ 9827 d",675,13.83,2.15,0.3854
"TOI-4465 b",427,129.46,3.75,0.3842
"HD 28109 c",585.2,15.35,0.58,0.3839
"TOI-1803 c",588,15.29,0.56,0.383
"TOI-178 f",521,20.58,3.56,0.3819
"Kepler-103 c",434,29.57,1.29,0.3812
"GJ 9827 c",715.94,14.37,7.11,0.3799
"TOI-4600 c",191,198.07,19.44,0.3789
"TOI-1823 b",423.63,33.48,0.87,0.3777
"K2-136 c",470,27.51,3.7,0.3776
"TOI-2447 b",414,40.39,0.78,0.3774
"Kepler-102 e",590,16.48,2.54,0.377
"LP 890-9 b",396,35.42,31.65,0.377
"TOI-1776 b",1269.21,12.02,4.29,0.3754
"TOI-2076 d",457.68,32.56,3.96,0.3753
"HD 23472 b",543,22.84,5.73,0.3728
"HD 23472 d",909,9.59,7.19,0.3721
"TOI-500 b",1617,12.36,4.94,0.372
"TOI-2015 b",530.9,18.68,1.4,0.3716
"K2-266 e",490.1,25.63,3.88,0.3703
"GJ 3090 b",693,14.02,1.91,0.3697
"TOI-1260 d",499,21.82,2.15,0.3693
"K2-415 b",412.4,30.44,39.55,0.3668
"TOI-1468 b",683.5,16.5,6.1,0.3663
"Kepler-409 b",438,25.05,19.19,0.3651
"TOI-269 b",531,19.96,2.28,0.3629
"K2-233 d",525,23.38,4.3,0.3621
"GJ 806 b",940,13.38,4.44,0.3616
"CoRoT-9 b",420,52.94,0.86,0.361
"K2-266 d",538.3,19.52,1.95,0.3588
"GJ 414 A c",124.7,28.35,0.5,0.3573
"HD 219134 d",410.5,35.49,21.36,0.3571
"TOI-815 c",469,33.54,7.2,0.3566
"TOI-1453 c",819.8,12.9,1.48,0.3553
"Kepler-78 b",2223,13.25,5.35,0.3537
"Kepler-37 c",615,14.7,16.66,0.3532
"NGTS-11 b",435,38.7,0.78,0.3505
"TOI-1749 d",533,27.33,5.17,0.3453
"Kepler-68 c",1052,12.91,7.64,0.344
"K2-285 e",500.9,26.24,7.96,0.3424
"GJ 486 b",696.3,16.42,7.13,0.3418
"TOI-663 b",674,15.68,2.1,0.3412
"K2-157 b",2432,12.37,7.69,0.3403
"GJ 1214 b",567,19.65,2.27,0.338
"Kepler-167 e",134.4,62.95,1.69,0.3373
"TOI-5542 b",441,68.21,1.6,0.3372
"GJ 367 b",1365,10.66,10.22,0.3366
"LTT 3780 b",903,15.26,5.83,0.3363
"TOI-5678 b",513,22.6,0.93,0.3353
"HD 191939 c",600,17.72,1.35,0.3346
"K2-25 b",494,29.89,3.32,0.334
"WD 1856+534 b",163,230.01,21.5,0.3334
"TOI-1411 b",976.4,14.47,6.4,0.3319
"TOI-1824 b",528.67,27.05,4.27,0.3316
"HIP 9618 b",640.88,16.49,0.82,0.3282
"Ross 176 b",682,17.65,4.05,0.3281
"K2-285 d",619.9,18.13,2.35,0.3265
"PH1 b",481,58.57,3.95,0.3226
"TOI-561 b",2319,13.47,4.09,0.3206
"Kepler-10 c",579,24.52,4.77,0.319
"TOI-3785 b",582,19.1,0.61,0.3183
"HD 3167 c",564,21.57,2.27,0.3167
